test1,test2,test3,test4,test5,test6
3102.650000000722,3486.575000002631,4384.805000001506,3915.5749999990803,4306.34000000282,4645.754999997735
5111.709999997402,3584.3949999980396,4775.6050000025425,4295.015000003332,4959.89499999996,5015.949999993609
3490.850000000137,3479.284999999436,4613.269999999829,4499.8949999990145,4853.290000000925,5351.8199999998615
4278.599999961443,4653.210000018589,4654.465000028722,4610.240000067279,5603.58500003349,6191.0499999066815
3677.8599999961443,3756.215000001248,4353.394999998272,4274.539999998524,4410.435000012512,4938.2150000019465
4308.129999990342,4203.555000000051,4881.724999999278,4848.429999998189,9540.245000011055,5772.815000003902
3622.8599999994913,3836.34499999971,4578.510000003007,4128.704999999172,5054.464999997435,5264.800000000832
3528.5599999999686,3715.8699999999953,4702.229999999989,4160.7350000000515,4796.065000000002,5178.850000000006
3569,4187,4268,4257,4282,4381
3566.5449999505654,3534.7550000296906,4165.420000092126,3775.2699999837205,4226.069999975152,4292.024999973364
3590.3250000046683,3648.850000005041,4200.430000004417,4481.655000003229,5006.765000005544,5258.700000005774
3952.0000000000036,4069,6805,5275.000000000007,6018,5914
3587.010000000191,4699.410000000171,4606.3699999999735,5400.674999999865,5647.384999999762,4749.784999999974
4195.2150000142865,4352.380000025732,4616.5449999971315,4186.210000014398,5175.09499998414,5854.084999999031
4432,4027,4827,4421,4736,5748
4253.310000000056,4110.594999976456,4112.680000020191,3952.0599999814294,4887.234999972861,4650.46999999322
3797.16499999995,3965.975000000981,5040.565000001152,4727.170000000115,5672.440000000279,5196.069999999963
3310.905000194907,3332.1050000377,5622.3949999548495,3583.1249998882413,4351.565000135452,4610.5700000189245
3936.77500000922,4480.53999998956,4860.235000000102,5715.5149999889545,5804.460000013933,6319.015000015497
