first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
5025.074119567871,8507.574119567871,13275.053939250925,11449.5,1868,11.233,20410.07411956787,21385.07411956787,0.0607,147,13231,0,0,0,0,0,0,476.9855238097039,284.23000001184084,1114.6420000022613,1300.2840000038623,1555.0589999985918,147,3864.049,7027.519
3837.074119567871,6821.574119567871,12520.689549437111,10512.5,1341.6000000000001,9.895000000000001,18065.07411956787,19135.57411956787,0.35459999999999997,147,13231,0,0,0,0,0,0,451.3675646262833,317.9559999998426,1138.8549999945117,1285.5989999993099,1557.3489999894257,147,3953.15,6895.844
3966.074119567871,7225.074119567871,12882.717297590734,11494,1389.8,10.870000000000001,19359.07411956787,20683.07411956787,0.1475,147,13231,0,0,0,0,0,0,505.1928095236688,347.9589999999329,1201.7400000018245,1356.8860000077273,1881.2600000100276,147,3711.978,6925.177
3778.074119567871,3778.074119567871,13172.09966602634,12389,2351.2000000000003,8.154,20414.07411956787,21375.57411956787,0.4995,147,13231,0,0,0,0,0,0,609.6518163263088,452.2669999949858,1292.8560000000346,1636.3199999984474,2077.359999997925,147,4048.875,6920.001
3883.5247383117676,7304.574119567871,12916.696306182053,11017.549381256104,380.20000000000005,24.867,18771.07411956787,19584.57411956787,0.0522,147,13231,0,0,0,0,0,0,446.0347346940986,256.7490000101328,1040.7060000116817,1310.025000005111,1632.1219999929779,147,3884.619,6953.4205
3684.074119567871,10476.09296105957,12596.453424803713,11743.5,1238.32,11.051,19687.07411956787,20756.07411956787,0.0468,147,13214,0,0,0,0,0,0,502.6072721101078,333.2060000106795,975.7760000055385,1413.4369999921546,1666.4840000074655,147,3600.668,5983.446
4046.074119567871,4046.074119567871,12991.098259685143,10467,2504,9.406,18248.07411956787,19463.57411956787,0.6183,147,13226,0,0,0,0,0,0,437.7600544211173,312.65100000092576,1095.7079999977452,1260.7879999993947,1561.8709999920084,147,4115.508,7241.951
3829.074119567871,3829.074119567871,13156.300221926394,11403,2349.5999999999995,7.699000000000002,19069.07411956787,20302.07411956787,0.8999999999999999,147,13226,0,0,0,0,0,0,496.01069387747845,338.61800000284893,1090.7460000065164,1360.2110000029775,1595.773000008394,147,4018.011,7119.353
3785.074119567871,3785.074119567871,8494.111963942836,5405,2349.6,12.651,11393.074119567871,12495.074119567871,0.11399999999999998,147,13247,0,0,0,0,0,0,423.63557142857115,311.53399999172615,1018.9120000064466,1139.3400000054985,1397.5070000077067,147,3536.761,5367.290999999999
3840.5247383117676,7671.67216105957,12154.536409234071,10976.049381256107,1369.8000000000006,9.551,18849.07411956787,19826.57411956787,0.0463,147,13231,0,0,0,0,0,0,463.53174829856175,256.35500000274646,999.8879999862546,1314.5349999960008,1587.1020000008102,147,3672.105,6306.505
3928.074119567871,3928.074119567871,13700.457365991224,11658.5,2409.6,15.395,19720.07411956787,20873.57411956787,0.0439,147,13231,0,0,0,0,0,0,454.83398639534477,304.24400000519586,1168.4580000036387,1308.9039999938468,1541.9650000031338,147,3941.613,6757.605
