first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
2906.5955661621097,3851.5955661621097,7425.479118387796,4799,691.1999999999999,285.99100000000004,10644.854,10853.854,14.350999999999999,245,13249,330666,1349.6571428571428,371,5862,8368,13749,88.84739591836092,34.08099999964272,147.34699999974458,431.7260000001756,1150.9160000005338,245,2540.534,3962.295
2937.1955,3601.1955000000003,8096.900923541214,5060.217499999998,708.3999999999996,279.68399999999997,10848.913,11086.413,16.246000000000002,245,13249,330144,1347.5265306122449,371,5862,8368,13749,84.96986530607263,34.03800000006205,152.4629999998012,448.4259999995836,1062.6049999998634,245,2919.019,4339.324
2866.4906,3854.9905999999996,8356.239290730367,5557.4058,701.9000000000001,730.9680000000001,11508.396399999998,11759.3964,0.1022,246,13249,330535,1343.638211382114,371,5862,8368,13758,88.00164227643413,34.17349999962209,158.77400000083645,413.1049999997844,1078.8340000001301,246,2981.3,4158.3235
2845.19715,3634.19715,7145.099479354598,4983.50115,688.24,262.677,10811.9977,11025.4977,0.0774,243,13249,329671,1356.670781893004,371,5862,8368,13749,83.9392757201522,34.26099999959662,150.46900000021938,409.47899999965017,1055.2659999998418,243,2444.931,3871.2934999999998
2865.9197999999997,3842.4197999999997,7623.037994353981,5283.4002,693.2800000000002,175.71800000000002,11308.199599999998,11644.1996,0.0735,258,13249,335092,1298.8062015503876,371,5862,8368,13749,82.76086821709443,34.047000000029186,146.21400000032696,404.8149999999116,1021.4429999996812,258,2407.532,3733.523
2864.8377499999997,2864.8377499999997,7436.475604463391,5250.124349999998,823.5999999999999,265.184,11197.962099999997,11453.962099999997,0.1361,244,13249,327634,1342.7622950819673,371,5862,8368,13749,83.17045901643975,33.9194999999885,150.37699999974575,403.62400000050246,1036.9839999996598,244,2564.685,4121.366
2779.483,3769.4829999999997,7243.526374981926,5378.431,718.2,186.475,11141.137999999999,11369.137999999999,20.566,249,13249,331071,1329.6024096385543,371,5862,8368,13749,85.7423775100274,34.1519999999656,153.69700000024133,456.49300000009424,1099.350000000473,249,2372.326,3880.412
2922.597116162109,3763.097116162109,7940.835724674518,5845.170183837893,715.8666666666672,270.548,11862.7673,12121.2673,0.15589999999999998,257,13249,332967,1295.591439688716,371,5862,8368,13749,90.1146653696533,34.18899999970419,159.34200000108225,478.5649999999329,1119.6270000001384,257,2447.111,3869.712
2850.4728999999998,4358.8023,7981.49478518294,5777.054099999998,713.5999999999998,344.74300000000005,11506.526999999996,11757.526999999998,0.0967,259,13249,333063,1285.957528957529,371,5862,8368,13749,83.87365637063074,34.02299999996106,152.24699999971077,458.81000000020066,1115.0110000006143,259,2832.09,4147.452499999999
2942.6254,3016.1254,8083.190424923987,5838.357399999999,880.8000000000006,269.279,11778.982799999996,11985.482799999998,0.08199999999999999,243,13249,329661,1356.6296296296296,371,5862,8368,13749,87.8035185185245,34.28400000013231,158.15199999985217,409.20100000064866,1072.577000000332,243,2834.783,4400.8825
2844.4835000000003,3787.9835000000003,8418.906190051252,6410.915899999998,722.533333333333,418.71,12364.3994,12634.899399999998,0.10640000000000001,244,13260,426733,1748.905737704918,381,5862,8368,13749,117.4058442623081,46.91299999988824,233.53800000068907,453.6040000003065,1095.7770000006942,244,2569.447,4417.893
2801.357,3030.4079999999994,8417.998447705122,5491.448999999999,811.1999999999997,801.925,11600.101999999999,11861.101999999999,20.776,244,13260,330012,1352.5081967213114,371,5862,8368,13749,87.7606229507994,33.972000000039436,171.07499999988377,451.1389999995773,1031.5499999999633,244,3160.837,4305.1565
2855.8224,3675.3224,8098.028966208047,5022.5392,699.9000000000001,800.65,10707.3616,11018.8616,0.11479999999999999,245,13260,328001,1338.7795918367347,371,5862,8368,13749,85.45413469387951,33.95200000102702,149.57399999885791,452.8019999999125,1024.6900000001092,245,2959.89,4545.917
2870.09115,3925.59115,7639.539147762541,5609.110549999999,693.0499999999997,303.546,11640.7017,11885.201699999998,0.09489999999999998,248,13260,330685,1333.407258064516,371,5862,8368,13749,86.30225806449425,34.13850000020073,155.48599999955914,405.52799999918386,1030.2069999996447,248,2655.854,3908.3410000000003
2911.5505161621095,3722.5505161621095,7423.13955642197,5287.635383837891,702.2666666666667,264.087,11145.6859,11405.1859,0.0904,243,13260,330024,1358.1234567901236,371,5862,8368,13749,86.99569547322618,34.03899999986944,145.76499999903254,411.0630000004023,1104.839000000841,243,2582.958,4176.256
2853.3077,3805.3077,7554.548277284102,5839.7889,704.2285714285715,274.201,11705.5966,11906.096599999999,0.0737,243,13260,329680,1356.7078189300412,371,5862,8368,13749,83.25755144032657,34.144000000613104,152.65699999979918,401.2139999996954,1047.3579999999326,243,2447.038,4021.27
2852.9101,3752.3831,7958.960849221146,5821.899300000001,700.4000000000001,252.80200000000002,11729.2014,11954.2014,0.07669999999999999,257,13260,334753,1302.5408560311284,371,5862,8368,13749,81.69645525293126,34.11499999912357,145.30699999968883,399.40700000096274,1023.9259999995821,257,2677.174,3982.712
2882.6081,2882.6081,7514.080357574381,5331.651700000001,826.4000000000001,172.09199999999998,11527.259800000002,11747.759800000002,0.08499999999999999,243,13260,327834,1349.111111111111,371,5862,8368,13749,84.4366008231338,34.271999999834456,157.7859999996295,401.90799999945756,1045.0619999998312,243,2461.665,3646.063
2860.97145,4382.190850000001,7641.344387188204,4990.3224500000015,693.1333333333332,524.9449999999999,10639.793899999999,11006.7939,0.0805,258,13260,335765,1301.4147286821706,371,5862,8368,13749,82.65756976745925,34.1095000001181,156.93900000015907,466.1369999995987,1030.7230000000689,258,2837.229,4076.471
2867.95845,2867.95845,7751.499069590225,5459.098049999999,812.0000000000002,330.205,11553.803899999999,11802.803899999999,0.0925,244,13260,333567,1367.077868852459,371,5862,8691,13749,84.89602049178397,34.01000000016077,151.37299999992695,409.2979999994712,1047.0299999996753,244,2674.733,3796.242
