first-contentful-paint,first-meaningful-paint,speed-index,total-blocking-time,estimated-input-latency,time-to-first-byte,first-cpu-idle,time-to-interactive,network-rtt,network-requests,dom-size,total-transfer-size,average-transfer-size,median-transfer-size,90th-percentile-transfer-size,95th-percentile-transfer-size,99th-percentile-transfer-size,average-transfer-time,median-transfer-time,90th-percentile-transfer-time,95th-percentile-transfer-time,99th-percentile-transfer-time,number-api-calls,lowest-time-to-widget,median-time-to-widget
2803.341,3718.341,7743.845241204098,5526.237000000001,696.4571428571429,268.928,11376.526,11631.026,20.218,265,13249,341990,1290.5283018867924,371,5389,8368,13749,100.61061509433922,35.13099999972322,260.0410000001194,515.559999999841,1153.5020000000945,265,2658.88,3723.518
2975.04435,2975.04435,8050.545623458683,5872.303949999996,847.6000000000003,166.82999999999998,11910.3921,12183.892099999997,0.08489999999999999,278,13249,346474,1246.3093525179856,371,4671,8368,13749,94.73348561152388,35.56700000001405,213.5709999997429,505.73099999962966,1132.7829999999283,278,2767.695,4085.45
2990.6956,2990.6956,7762.774594635958,5771.515599999999,847.1999999999999,172.456,11741.711199999998,12049.211199999998,0.077,264,13249,341639,1294.0871212121212,371,5389,8368,13749,98.12562499999427,35.14649999993054,234.02199999995284,507.12399999998127,1154.0080000002465,264,2695.662,4326.575
2913.5790500000003,3772.5790500000003,7719.543572682131,5650.609249999998,712.3199999999996,207.47199999999998,11721.688299999996,12013.688299999998,0.0999,265,13249,342000,1290.566037735849,371,5389,8368,13749,98.49770188679373,35.07300000021397,249.35099999977555,524.1179999998299,1151.6500000003068,265,2533.415,4205.42
2931.8457161621095,2931.8457161621095,8349.479032498813,5812.953583837888,819.1999999999997,220.608,11711.299299999995,12017.799299999995,0.1157,283,13249,348378,1231.017667844523,371,4671,8286,13749,95.24306360423839,35.01299999999648,224.46599999972628,477.9439999999507,1161.2290000002652,283,3105.056,4458.5135
2921.2036500000004,3717.70365,7598.725830052238,5531.05225,717.1,177.845,11338.755899999998,11644.7559,0.11359999999999999,264,13249,341617,1294.003787878788,371,5389,8368,13749,100.71849242423227,35.35999999966343,251.54399999985353,524.0160000005208,1177.6819999998156,264,2640.471,4227.363
2887.3583,4924.341899999999,7913.582450954097,5773.536300000002,695.9200000000001,192.868,11660.8946,11969.3946,0.30019999999999997,280,13249,347436,1240.8428571428572,371,4671,8286,13749,95.41603571426141,35.26549999991276,202.1079999999465,471.8299999997799,1141.9000000001545,280,2665.797,4031.6285000000003
3069.1009999999997,3300.544,8286.779954624022,5795.784999999998,898.7999999999997,237.367,11643.885999999999,11883.385999999999,20.589,279,13249,346592,1242.2652329749103,371,4671,8359,13749,126.80546236561169,57.30600000006234,284.05300000018644,613.6360000001782,1223.843000000276,279,2893.794,4537.8305
2881.0541999999996,2881.0541999999996,7887.212596171456,5538.4014,820.8000000000013,276.537,11354.955599999998,11623.9556,0.0762,269,13244,441917,1642.814126394052,381,5380,8368,13749,137.7191486988789,53.97700000004755,298.74299999989535,579.0129999999023,1304.249999999685,269,2786.744,4325.059499999999
2936.35325,4053.3532499999997,7982.074709155287,5503.341850000001,698.3200000000002,172.59799999999998,11409.195099999997,11711.695099999999,0.0861,285,13244,349316,1225.6701754385965,371,4671,8295,13749,98.833112280709,35.7369999998851,233.39100000040145,506.7529999998621,1218.0059999999671,285,2720.865,4241.1805
